xgb_prob,xgb_score,target,xgb_pred
1.0,85.0,1,1
1.0,85.0,1,1
0.5651351781916903,454.6351,1,0
1.0,85.0,1,1
1.0,85.0,1,1
0.056083074755774,887.3294,1,0
1.0,85.0,1,1
0.9999247699992734,85.0639,1,1
0.9999999999999882,85.0,1,1
0.9999999999936676,85.0,1,1
0.0028004927909211,932.6196,1,0
0.9492812720522468,128.1109,1,1
0.9999999978548546,85.0,1,1
1.0,85.0,1,1
0.9999999999972748,85.0,1,1
0.9999999999999992,85.0,1,1
0.0272493481210227,911.8381,1,0
0.9999999999999036,85.0,1,1
1.0,85.0,1,1
0.9999999999999908,85.0,1,1
1.0,85.0,1,1
1.0,85.0,1,1
0.9999999999999978,85.0,1,1
8.815872518810757e-05,934.9251,0,0
0.00558679334092,930.2512,0,0
0.0073485918591347,928.7537,0,0
0.0001126515011868,934.9042,0,0
0.0013730329071411,933.8329,0,0
0.0002617997789596,934.7775,0,0
0.0007218092287773,934.3865,0,0
2.936911578197536e-05,934.975,0,0
0.0002577615161768,934.7809,0,0
0.0098600538336923,926.619,0,0
4.279908733333115e-05,934.9636,0,0
0.013853611643173,923.2244,0,0
8.131059756359294e-06,934.9931,0,0
0.0016736812519993,933.5774,0,0
0.0178335761520692,919.8415,0,0
0.0014016912266121,933.8086,0,0
0.0014132150454459,933.7988,0,0
0.0009866403427541,934.1614,0,0
0.0011430254288404,934.0284,0,0
0.046208691889095,895.7226,0,0
0.0002780722001956,934.7636,0,0
0.0004616368376416,934.6076,0,0
0.0007524226814841,934.3604,0,0
0.0020579239057597,933.2508,0,0
0.0497992722446413,892.6706,0,0
0.000352099305567,934.7007,0,0
3.0516840260632145e-05,934.9741,0,0
0.0566533115315978,886.8447,0,0
0.0004833278363791,934.5892,0,0
0.0033637511745193,932.1408,0,0
0.0386835564271058,902.119,0,0
0.0024243723686569,932.9393,0,0
0.0004456755513581,934.6212,0,0
0.0249095632073609,913.8269,0,0
0.002000487101455,933.2996,0,0
0.0021102293790717,933.2063,0,0
0.0003096055467375,934.7368,0,0
0.004932639216558,930.8073,0,0
0.0009297088100061,934.2097,0,0
0.0197671829166805,918.1979,0,0
0.000248499666949,934.7888,0,0
0.0003336434718257,934.7164,0,0
0.0017361894659133,933.5242,0,0
0.0004402635887814,934.6258,0,0
2.597509679905077e-05,934.9779,0,0
0.0186702624503615,919.1303,0,0
0.0011298470185208,934.0396,0,0
0.0298568458706247,909.6217,0,0
0.0024780921204643,932.8936,0,0
0.0011722152482051,934.0036,0,0
0.0014052957302965,933.8055,0,0
0.0011671916777365,934.0079,0,0
0.9889671353765364,94.3779,0,1
0.0895686394430452,858.8667,0,0
0.4674774916206864,537.6441,0,0
0.0052846470883609,930.508,0,0
8.861283411371137e-11,935.0,0,0
0.1639739896694281,795.6221,0,0
0.0006318948963456,934.4629,0,0
0.0073417848756083,928.7595,0,0
0.0028479018256289,932.5793,0,0
0.0030063645979389,932.4446,0,0
0.0576937781148137,885.9603,0,0
0.0030154205582121,932.4369,0,0
0.0007357820023372,934.3746,0,0
0.0779096948076589,868.7768,0,0
0.0004792134486649,934.5927,0,0
5.82283494499087e-06,934.9951,0,0
0.0012652961404123,933.9245,0,0
0.0002125636725033,934.8193,0,0
0.0106600692536487,925.9389,0,0
0.001922044974224,933.3663,0,0
0.0401134798563825,900.9035,0,0
0.0022328860511393,933.102,0,0
0.0130714835413086,923.8892,0,0
4.49506418059103e-06,934.9962,0,0
0.008889993092077,927.4435,0,0
0.0045665339048293,931.1184,0,0
0.0003076320160771,934.7385,0,0
0.0003194543187071,934.7285,0,0
2.112338058805188e-06,934.9982,0,0
0.0080059025485107,928.195,0,0
0.0015574509736663,933.6762,0,0
1.139953553980738e-11,935.0,0,0
0.0002487216863199,934.7886,0,0
0.0099516957603901,926.5411,0,0
0.0440331072453331,897.5719,0,0
0.0038557573107551,931.7226,0,0
0.00873317378964,927.5768,0,0
0.0056970485798423,930.1575,0,0
0.0044249090628112,931.2388,0,0
9.858060557579346e-05,934.9162,0,0
0.0152093899994023,922.072,0,0
0.003505095235157,932.0207,0,0
0.0028312698799431,932.5934,0,0
0.0007454809292348,934.3663,0,0
3.589074803708472e-05,934.9695,0,0
0.0129214324121154,924.0168,0,0
0.0066947470694217,929.3095,0,0
0.0001675657349438,934.8576,0,0
0.0005796597804559,934.5073,0,0
3.691813448592426e-07,934.9997,0,0
0.0018210935520757,933.4521,0,0
0.0038361658840421,931.7393,0,0
0.0001158652452189,934.9015,0,0
0.0016410309688797,933.6051,0,0
0.5614624455353701,457.7569,0,0
3.850108522559532e-05,934.9673,0,0
0.0019007839396119,933.3843,0,0
0.0006803352870811,934.4217,0,0
0.0058568191654835,930.0217,0,0
0.0398324424482447,901.1424,0,0
0.0381583360829229,902.5654,0,0
0.0023180086927352,933.0297,0,0
0.0012382564195387,933.9475,0,0
0.0020954296290866,933.2189,0,0
0.00308339421398,932.3791,0,0
0.008537697429004,927.743,0,0
0.0047470874165088,930.965,0,0
0.0008286054897829,934.2957,0,0
0.0013130208081708,933.8839,0,0
0.0007724476509146,934.3434,0,0
0.0010051160170558,934.1457,0,0
0.0021980143236479,933.1317,0,0
0.0047163487205259,930.9911,0,0
0.0048154312757249,930.9069,0,0
0.0005894676537816,934.499,0,0
0.0008704363395914,934.2601,0,0
0.0070802658031555,928.9818,0,0
0.0005304666720365,934.5491,0,0
6.3407360485427e-05,934.9461,0,0
0.0040751550881746,931.5361,0,0
0.0035550692519621,931.9782,0,0
0.0018090859434399,933.4623,0,0
0.0001451283702866,934.8766,0,0
0.001181089339441,933.9961,0,0
0.0004853099308631,934.5875,0,0
0.0065460872717812,929.4358,0,0
0.0013736215069967,933.8324,0,0
0.0022858346049442,933.057,0,0
0.0017464537599903,933.5155,0,0
0.0884932504067723,859.7807,0,0
0.0011054049009695,934.0604,0,0
0.0394107647568028,901.5008,0,0
2.3459106044543423e-06,934.998,0,0
0.001983975226246,933.3136,0,0
0.0009799621741109,934.167,0,0
0.0081734593899419,928.0526,0,0
1.994939711644257e-07,934.9998,0,0
2.400546087459478e-08,935.0,0,0
7.381242021904803e-05,934.9373,0,0
0.0092711751526749,927.1195,0,0
0.0004133594589157,934.6486,0,0
0.0007399555716375,934.371,0,0
0.0018289031388527,933.4454,0,0
0.0022354996927005,933.0998,0,0
0.0193982954744032,918.5114,0,0
0.2526260439122767,720.2679,0,0
0.0046517576394152,931.046,0,0
0.0073383961135742,928.7624,0,0
0.0013206257985486,933.8775,0,0
0.0005204277716427,934.5576,0,0
0.0002402592693904,934.7958,0,0
