dataset,sample_cnt,bad_cnt,bad_rate,accuracy,precision,recall,f1,auc
train,316824,62138,0.19612781859960104,0.803872181400399,0.0,0.0,0.0,0.6862324747537961
test,79206,15535,0.19613413125268286,0.8038658687473171,0.0,0.0,0.0,0.6843929510366134
