"Q34031"	maxCount	Birth date should be reasonable if present
"Q34100"	minCount	Person must have valid occupations
"Q34211"	maxCount	Birth date should be reasonable if present
"Q5558"	maxCount	Birth date should be reasonable if present
"Q5581"	maxCount	Death date should be reasonable if present
"Q5597"	maxCount	Birth date should be reasonable if present
"Q5597"	maxCount	Death date should be reasonable if present
"Q11515"	maxLength	Birth date should be reasonable if present
"Q19287"	minCount	Person must have valid occupations
"Q19291"	minCount	Person must have valid occupations
"Q19289"	maxLength	Death date should be reasonable if present
"Q19489"	maxLength	Birth date should be reasonable if present
"Q19796"	maxCount	Death date should be reasonable if present
"Q27508"	maxCount	Birth date should be reasonable if present
"Q5623"	maxCount	Birth date should be reasonable if present
"Q5623"	maxCount	Death date should be reasonable if present
"Q11595"	maxCount	Death date should be reasonable if present
"Q11667"	maxCount	Birth date should be reasonable if present
"Q27695"	maxCount	Birth date should be reasonable if present
"Q27704"	maxCount	Birth date should be reasonable if present
"Q33004"	minCount	Person must have valid occupations
"Q33004"	maxCount	Death date should be reasonable if present
"Q26789"	minCount	Person must have valid occupations
